IncidenceEOS,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.2,,5188.630894940877,4439.208022572467,4477.263189840161,,30.899493252314056,30.903588870355073,30.904920712849854,,0.9999921368494377,0.9999921368494376,0.9999921368494377,,Strongly Dominated,Baseline,28573.32411061588
0.5800000000000001,,5367.892386440981,4618.469514072572,4656.524681340265,,30.899015219255613,30.90311083729663,30.904442679791412,,0.9999773729402512,0.9999773729402512,0.9999773729402512,,Strongly Dominated,Baseline,28573.324110614514
0.96,,5547.153877941086,4797.731005572676,4835.7861728403695,,30.89853718619717,30.902632804238184,30.90396464673297,,0.9999626090310649,0.9999626090310648,0.9999626090310649,,Strongly Dominated,Baseline,28573.324110538975
1.34,,5726.41536944119,4976.992497072781,5015.047664340474,,30.89805915313873,30.902154771179745,30.903486613674527,,0.9999478451218786,0.9999478451218784,0.9999478451218785,,Strongly Dominated,Baseline,28573.324110614514
1.72,,5905.676860941294,5156.253988572884,5194.309155840578,,30.89758112008029,30.901676738121303,30.903008580616085,,0.9999330812126922,0.999933081212692,0.9999330812126922,,Strongly Dominated,Baseline,28573.324110615195
2.1,,6084.938352441399,5335.515480072989,5373.570647340683,,30.897103087021843,30.90119870506286,30.902530547557646,,0.9999183173035059,0.9999183173035058,0.9999183173035058,,Strongly Dominated,Baseline,28573.324110538975
2.4800000000000004,,6264.199843941502,5514.776971573093,5552.832138840788,,30.8966250539634,30.900720672004418,30.902052514499204,,0.9999035533943195,0.9999035533943194,0.9999035533943195,,Strongly Dominated,Baseline,28573.32411053966
2.8600000000000003,,6443.461335441607,5694.038463073197,5732.093630340892,,30.89614702090496,30.900242638945976,30.90157448144076,,0.999888789485133,0.999888789485133,0.999888789485133,,Strongly Dominated,Baseline,28573.32411053966
3.24,,6622.722826941712,5873.299954573302,5911.355121840996,,30.89566898784652,30.899764605887537,30.90109644838232,,0.9998740255759467,0.9998740255759466,0.9998740255759467,,Strongly Dominated,Baseline,28573.324110615195
3.62,,6801.984318441815,6052.561446073406,6090.616613341101,,30.89519095478808,30.899286572829094,30.900618415323876,,0.9998592616667603,0.9998592616667603,0.9998592616667603,,Strongly Dominated,Baseline,28573.32411061588
4.0,,6981.24580994192,6231.82293757351,6269.878104841205,,30.89471292172964,30.898808539770652,30.900140382265434,,0.999844497757574,0.9998444977575738,0.999844497757574,,Strongly Dominated,Baseline,28573.32411061588
