pRed,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.02502,,206033.57160560336,205593.24344092797,205744.17967807775,,29.080263783650558,29.081543120880497,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,479599.6877005597
0.025614166666666667,,206033.57160560336,205598.03524777736,205744.17967807775,,29.080263783650558,29.081529495822508,29.081857833840118,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,445103.58978283854
0.026208333333333333,,206033.57160560336,205602.82705462683,205744.17967807775,,29.080263783650558,29.081515870764523,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,413356.392952608
0.0268025,,206033.57160560336,205607.61886147622,205744.17967807775,,29.080263783650558,29.08150224570653,29.081857833840118,,0.9999806106875311,0.9999806106875313,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,384042.1085595642
0.027396666666666666,,206033.57160560336,205612.41066832564,205744.17967807775,,29.080263783650558,29.081488620648543,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,356891.3916369159
0.027990833333333333,,206033.57160560336,205617.2024751751,205744.17967807775,,29.080263783650558,29.081474995590554,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,331673.2407152231
0.028585,,206033.57160560336,205621.9942820245,205744.17967807775,,29.080263783650558,29.08146137053257,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,308188.409183687
0.029179166666666666,,206033.57160560336,205626.7860888739,205744.17967807775,,29.080263783650558,29.081447745474584,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,286264.13005154533
0.029773333333333332,,206033.57160560336,205631.57789572328,205744.17967807775,,29.080263783650558,29.081434120416592,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,265749.85851854464
0.0303675,,206033.57160560336,205636.36970257273,205744.17967807775,,29.080263783650558,29.081420495358607,29.081857833840118,,0.9999806106875311,0.9999806106875312,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,246513.81038440272
