IncidenceEOS,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.1,,206357.8559158325,205785.49243109525,205752.10256189626,,29.075989784662323,29.078938517680086,29.08059028106919,,0.9999960220886972,0.9999960220886971,0.9999960220886973,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.49,,206528.91436815745,205956.5508834202,205923.1610142212,,29.07552766088619,29.078476393903955,29.080128157293057,,0.9999808696555849,0.9999808696555847,0.999980869655585,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.88,,206699.97282048236,206127.60933574513,206094.21946654614,,29.07506553711006,29.07801427012783,29.07966603351693,,0.9999657172224726,0.9999657172224726,0.9999657172224726,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
1.27,,206871.0312728073,206298.66778807007,206265.27791887108,,29.07460341333393,29.077552146351696,29.079203909740798,,0.9999505647893603,0.9999505647893602,0.9999505647893603,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
1.6600000000000001,,207042.08972513225,206469.72624039496,206436.33637119603,,29.0741412895578,29.077090022575568,29.078741785964667,,0.9999354123562478,0.9999354123562478,0.9999354123562479,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
2.0500000000000003,,207213.1481774572,206640.78469271996,206607.39482352097,,29.07367916578167,29.07662789879944,29.07827966218854,,0.9999202599231356,0.9999202599231355,0.9999202599231356,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
2.44,,207384.20662978213,206811.8431450449,206778.45327584588,,29.07321704200554,29.07616577502331,29.077817538412408,,0.9999051074900233,0.9999051074900231,0.9999051074900234,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
2.83,,207555.26508210707,206982.9015973698,206949.51172817082,,29.072754918229414,29.075703651247174,29.07735541463628,,0.9998899550569108,0.9998899550569109,0.999889955056911,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
3.22,,207726.323534432,207153.96004969475,207120.57018049576,,29.072292794453283,29.075241527471047,29.07689329086015,,0.9998748026237987,0.9998748026237986,0.9998748026237987,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
3.6100000000000003,,207897.38198675693,207325.0185020197,207291.6286328207,,29.071830670677155,29.07477940369492,29.076431167084017,,0.9998596501906863,0.9998596501906862,0.9998596501906863,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
4.0,,208068.44043908184,207496.0769543446,207462.68708514565,,29.071368546901024,29.074317279918787,29.07596904330789,,0.999844497757574,0.999844497757574,0.999844497757574,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
