pIllAppearingStrat3,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.04731,,5566.023509,4816.600636,4780.628414,,30.89848687,30.90258248,30.90429206,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-21041.6687
0.048135,,5566.023509,4816.600636,4795.708067,,30.89848687,30.90258248,30.90421511,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-12796.90948
0.04896,,5566.023509,4816.600636,4810.787721,,30.89848687,30.90258248,30.90413817,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Strongly Dominated (Baseline),-3736.57179
0.049785,,5566.023509,4816.600636,4825.867374,,30.89848687,30.90258248,30.90406122,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,6266.657901
0.05061,,5566.023509,4816.600636,4840.947028,,30.89848687,30.90258248,30.90398428,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,17368.04619
0.051435,,5566.023509,4816.600636,4856.026681,,30.89848687,30.90258248,30.90390733,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,29758.93005
0.05226,,5566.023509,4816.600636,4871.106335,,30.89848687,30.90258248,30.90383039,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,43677.83716
0.053085,,5566.023509,4816.600636,4886.185988,,30.89848687,30.90258248,30.90375344,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,59425.99063
0.05391,,5566.023509,4816.600636,4901.265642,,30.89848687,30.90258248,30.9036765,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,77389.35659
0.054735,,5566.023509,4816.600636,4916.345295,,30.89848687,30.90258248,30.90359955,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,98070.69972
0.05556,,5566.023509,4816.600636,4931.424949,,30.89848687,30.90258248,30.90352261,,0.999961055,0.999961055,0.999961055,,Strongly Dominated,Baseline,122137.3801
